codigo;descripcion;precio;unidades;um
37549;LETRA  CAMBIO   4   67,31;67.31;1;Unidad
37550;LETRA  CAMBIO   5   33,66;33.66;1;Unidad
37551;LETRA  CAMBIO   6   16,83;16.83;1;Unidad
37552;LETRA  CAMBIO   7   8,41;8.41;1;Unidad
37553;LETRA  CAMBIO   8   4,21;4.21;1;Unidad
37554;LETRA  CAMBIO   9   1,98.;1.98;1;Unidad
37555;LETRA  CAMBIO  10   0,96;0.96;1;Unidad
37556;LETRA  CAMBIO  11   0,48;0.48;1;Unidad
37557;LETRA  CAMBIO  12   0,24;0.24;1;Unidad
37558;LETRA  CAMBIO  13   0,12;0.12;1;Unidad
37559;LETRA  CAMBIO  14   0,06;0.06;1;Unidad
37560;LETRA CAMBIO PC  3  134,63;134.63;1;Unidad
37561;LETRA CAMBIO PC  4  67,31;67.31;1;Unidad
37562;LETRA CAMBIO PC  5  33,66;33.66;1;Unidad
37563;LETRA CAMBIO PC  6  16,83;16.83;1;Unidad
37564;LETRA CAMBIO PC  7   8,41;8.41;1;Unidad
37565;LETRA CAMBIO PC  8   4,21;4.21;1;Unidad
37566;LETRA CAMBIO PC  9   1,98;1.98;1;Unidad
37567;LETRA CAMBIO PC 10  0,96;0.96;1;Unidad
37568;LETRA CAMBIO PC 11  0,48;0.48;1;Unidad
37569;LETRA CAMBIO PC 12  0,24;0.24;1;Unidad
37570;LETRA CAMBIO PC 13  0,12;0.12;1;Unidad
37571;LETRA CAMBIO PC 14  0,06;0.06;1;Unidad
37572;C.A.FINCAS URBANAS 1  30,77;30.77;1;Unidad
37573;C.A.FINCAS URBANAS 2  14,42;14.42;1;Unidad
37574;C.A.FINCAS URBANAS 3   7,21;7.21;1;Unidad
37575;C.A.FINCAS URBANAS 4   3,37;3.37;1;Unidad
37576;C.A.FINCAS URBANAS 5   1,68;1.68;1;Unidad
37577;C.A.FINCAS URBANAS 6   0,78;0.78;1;Unidad
37578;C.A.FINCAS URBANAS 7   0,39;0.39;1;Unidad
37579;C.A.FINCAS URBANAS 8   0,18;0.18;1;Unidad
37580;C.A.FINCAS URBANAS 9   0,09;0.09;1;Unidad
37581;LETRA CATALAN  1    538,51;538.51;1;Unidad
37582;LETRA CATALAN  2    269,25;269.25;1;Unidad
37583;LETRA CATALAN  3    134,63;134.63;1;Unidad
37584;LETRA CATALAN  4     67,31;67.31;1;Unidad
37585;LETRA CATALAN  5    33,66;33.66;1;Unidad
37586;LETRA CATALAN  6    16,83;16.83;1;Unidad
37587;LETRA CATALAN  7     8,41;8.41;1;Unidad
37588;LETRA CATALAN  8     4,21;4.21;1;Unidad
37589;LETRA CATALAN  9     1,98;1.98;1;Unidad
37590;LETRA CATALAN 10     0,96;0.96;1;Unidad
37591;LETRA CATALAN 11     0,48;0.48;1;Unidad
37592;LETRA CATALAN 12     0,24;0.24;1;Unidad
37593;LETRA CATALAN 13     0,12;0.12;1;Unidad
37594;LETRA CATALAN 14     0,06;0.06;1;Unidad
37595;LETRA CATALAN PC 3  134,63;134.63;1;Unidad
37596;LETRA CATALAN PC 4  67,31;67.31;1;Unidad
37597;LETRA CATALAN PC 5  33,66;33.66;1;Unidad
37598;LETRA CATALAN PC 6  16,83;16.83;1;Unidad
37599;LETRA CATALAN PC 7   8,41;8.41;1;Unidad
37600;LETRA CATALAN PC 8   4,21;4.21;1;Unidad
37601;LETRA CATALAN PC 9   1,98;1.98;1;Unidad
37604;LETRA CATALAN PC 10  0,96;0.96;1;Unidad
37605;LETRA CATALAN PC 11  0,48;0.48;1;Unidad
37606;LETRA CATALAN PC 12  0,24;0.24;1;Unidad
37607;LETRA CATALAN PC 13  0,12;0.12;1;Unidad
37608;LETRA CATALAN PC 14  0,06;0.06;1;Unidad
37609;P.TIMB. COMUN  CL. 2  0,15 BI;0.15;1;Unidad
37610;LETRA   CL.   1     538,51 BI;538.51;1;Unidad
37611;LETRA   CL.   2     269,25 BI;269.25;1;Unidad
37612;LETRA   CL.   3     134,63 BI;134.63;1;Unidad
37613;LETRA   CL.   4     67,31 BI;67.31;1;Unidad
37614;LETRA   CL.   5     33,66 BI;33.66;1;Unidad
37615;LETRA  CL.   6      16,83 BI;16.83;1;Unidad
37616;LETRA   CL.   7     8,41 BI;8.41;1;Unidad
37617;LETRA   CL.   8     4,21 BI;4.21;1;Unidad
37618;LETRA   CL.   9     1,98 BI;1.98;1;Unidad
37619;LETRA   CL.  10     0,96 BI;0.96;1;Unidad
37620;LETRA   CL.  11     0,48 BI;0.48;1;Unidad
37621;LETRA   CL.  12     0,24 BI;0.24;1;Unidad
37622;LETRA   CL.  13     0,12 BI;0.12;1;Unidad
37623;LETRA   CL.  14     0,06 BI;0.06;1;Unidad
37624;C.A.F.URBANAS CL. 1    130 BI;130.00;1;Unidad
37625;C.A.F.URBANAS CL. 2   43,25 BI;43.25;1;Unidad
37626;TIMBRE MOVIL CL. 1   25 BI;25.00;1;Unidad
37627;TIMBRE MOVIL CL. 2   10 BI;10.00;1;Unidad
37628;TIMBRE MOVIL CL. 3    5 BI;5.00;1;Unidad
37629;TIMBRE MOVIL CL. 4    1 BI;1.00;1;Unidad
37630;TIMBRE MOVIL CL. 5  0,5 BI;0.50;1;Unidad
37631;TIMBRE MOVIL CL. 6  0,25 BI;0.25;1;Unidad
37633;TIMBRE MOVIL CL. 8  0,05 BI;0.05;1;Unidad
37645;LETRA   CL.   1    538,51 GI;538.51;1;Unidad
37646;LETRA    CL.   2     269,25 GI;269.25;1;Unidad
37657;LETRA    CL.  13    0,12 GI;0.12;1;Unidad
37669;LETRA P.C. EUROS 13ª   0,12 GI;0.12;1;Unidad
37671;LETRA   CLASE   1   538,51 AL;538.51;1;Unidad
37672;LETRA   CLASE  2    269,25 AL;269.25;1;Unidad
37673;LETRA   CLASE   3   134,63 AL;134.63;1;Unidad
37674;LETRA   CLASE   4   67,31 AL;67.31;1;Unidad
37675;LETRA   CLASE   5   33,66 AL;33.66;1;Unidad
37676;LETRA   CLASE   6    16,83 AL;16.83;1;Unidad
37677;LETRA  CLASE   7    8,41 AL;8.41;1;Unidad
37678;LETRA  CLASE   8    4,21 AL;4.21;1;Unidad
37679;LETRA  CLASE   9    1,98 AL;1.98;1;Unidad
37680;LETRA  CLASE  10    0,96 AL;0.96;1;Unidad
37681;LETRA  CLASE  11    0,48 AL;0.48;1;Unidad
37682;LETRA  CLASE  12    0,24 AL;0.24;1;Unidad
37683;LETRA  CLASE  13    0,12 AL;0.12;1;Unidad
37684;LETRA  CLASE  14    0,06 AL;0.06;1;Unidad
37722;FOR.GUIP.IMP.DECL. 347 2014;0.45;1;Unidad
37726;FOR.ALAVA CARAT.190       0,06;0.06;1;Unidad
37727;FOR.ALAVA IMP.347 ANEXO   0,06;0.06;1;Unidad
37728;FOR.ALAVA IMP.347 CARATUL 0,06;0.06;1;Unidad
37729;FOR.ALAVA IMP.347 COMUN   0,06;0.06;1;Unidad
37730;FOR.ALAVA IMP.M.190       0,06;0.06;1;Unidad
37733;FOR.ALAVA IMP.M.391       0,12;0.12;1;Unidad
37734;FOR.ALAVA IMP.MODELO 390  0,30;0.30;1;Unidad
37735;FOR.ALAVA IMPRESO 110     0,12;0.12;1;Unidad
37737;FOR.ALAVA IVA     M.310   0,12;0.12;1;Unidad
37739;FOR.ALAVA M.115 IRPF      0,12;0.12;1;Unidad
37740;FOR.ALAVA M.180 CARATULA  0,06;0.06;1;Unidad
37741;FOR.ALAVA M.180 HOJA INT  0,06;0.06;1;Unidad
37780;P.TIMB COMUN CL.8   0,300506 AL;0.30;1;Unidad
37813;FOR.VIZC.IMP.IVA MOD. 300 0,10;0.10;1;Unidad
37814;FOR.VIZC.IMP.IRPF.MOD.110 0,10;0.10;1;Unidad
37815;FOR.VIZC.IMP.IRPF.MOD.130 0,10;0.10;1;Unidad
37824;LETRA  EURO  CL  1  538,51  NA;538.51;1;Unidad
37825;LETRA  EURO  CL   2 269,25  NA;269.25;1;Unidad
